"id","name","region","group_title","tvg_id","stream_url"
"islam_channel_urdu_576p_uk","Islam Channel Urdu (576p)","UK","Religious","IslamChannelUrdu.uk@SD","https://live-islamtv-urdu.simplestreamcdn.com/live13/islamtv_urdu/bitrate1.isml/live.m3u8"
"mta1_world_720p_uk","MTA1 World (720p)","UK","Religious","MTA1World.uk@SD","https://chlivemta1.akamaized.net/hls/live/2008145/mta1/playlist.m3u8"
"mta2_europe_720p_uk","MTA2 Europe (720p)","UK","Religious","MTA2Europe.uk@SD","https://chlivemta1.akamaized.net/hls/live/2008145/mta2/playlist.m3u8"
"mta3_al_arabia_1080p_uk","MTA3 Al-Arabia (1080p)","UK","Religious","MTA3AlArabia.uk@SD","https://chlivemta1.akamaized.net/hls/live/2010556/mta3alarabia/playlist.m3u8"
"mta4_africa_1080p_uk","MTA4 Africa (1080p)","UK","Religious","MTA4Africa.uk@SD","https://chlivemta.akamaized.net/hls/live/2010555/mtaafrica1/playlist.m3u8"
"mta5_africa_1080p_uk","MTA5 Africa (1080p)","UK","Religious","MTA5Africa.uk@SD","https://chlivemta.akamaized.net/hls/live/2010555/mtaafrica2/playlist.m3u8"
"mta6_asia_1080p_uk","MTA6 Asia (1080p)","UK","Religious","MTA6Asia.uk@SD","https://livemtaasia.akamaized.net/hls/live/2039224/mta6asia/playlist.m3u8"
"mta7_asia_1080p_uk","MTA7 Asia (1080p)","UK","Religious","MTA7Asia.uk@SD","https://livemtaasia.akamaized.net/hls/live/2039224/mtaasia2/playlist.m3u8"
"mta8_america_1080p_uk","MTA8 America (1080p)","UK","Religious","MTA8America.uk@SD","https://chlivemta.akamaized.net/hls/live/2016718/mta8/playlist.m3u8"
"noor_tv_720p_uk","Noor TV (720p)","UK","Religious","NoorTV.uk@SD","https://sscsott.com/srt/noortvuk/index.m3u8"
"madani_channel_english_720p_pk","Madani Channel English (720p)","PK","Religious","MadaniChannelEnglish.pk@SD","https://streaming.madanichannel.tv/static/streaming-playlists/hls/c6a600b0-82cb-454a-8953-2bb2bb372edc/master.m3u8"
"madani_channel_urdu_720p_pk","Madani Channel Urdu (720p)","PK","Religious","MadaniChannelUrdu.pk@SD","https://streaming.madanichannel.tv/static/streaming-playlists/hls/b9790f10-cb0d-4e30-82bf-84a756234e58/master.m3u8"
