"popular","total","enabled","working","disabledWorking"
"92 News","1","1","1","0"
"Aaj Entertainment","1","1","1","0"
"ABC News","11","1","11","10"
"BBC Four","1","1","1","0"
"BBC News","3","1","3","2"
"BBC Three","1","1","1","0"
"BBC Two","1","1","1","0"
"Bloomberg","5","2","4","2"
"Bol Entertainment","1","1","1","0"
"Buzzr","3","0","3","3"
"CBS News","21","1","20","19"
"Channel 5","2","0","2","2"
"Charge","1","1","1","0"
"Cheddar","2","0","1","1"
"CNBC","11","1","11","10"
"CNN","28","0","28","28"
"CNN International","1","0","1","1"
"Comet","1","1","1","0"
"Court TV","3","1","3","2"
"Dunya News","2","1","2","1"
"E4","1","0","1","1"
"Euronews","2","0","2","2"
"Express Entertainment","1","1","1","0"
"Fox News","1","0","1","1"
"Fox Weather","1","1","1","0"
"Game Show Central","1","1","1","0"
"GB News","2","1","2","1"
"Grit","2","1","2","1"
"ITV2","1","0","1","1"
"Laff","1","1","1","0"
"Local Now","1","1","1","0"
"Movies","50","4","50","46"
"MovieSphere","7","1","7","6"
"MTV","7","1","5","4"
"NBC News","2","1","2","1"
"Newsmax","5","2","5","3"
"Now 70s","14","1","14","13"
"Now 80s","12","1","12","11"
"PBS","9","1","9","8"
"Scripps News","5","1","5","4"
"Sky News","3","0","3","3"
"Talk","3","1","3","2"
"The Country Network","2","0","2","2"
"WeatherNation","1","1","1","0"
"World Channel","1","1","1","0"
