"id","name","region"
"bloomberg_tv_us","Bloomberg TV US","US"
"newsmax2_us","Newsmax 2","US"
"cbs_news_us","CBS News","US"
"forty_eight_hours_us","48 Hours","US"
"dateline_247_us","Dateline 24/7","US"
"nbc_news_now_us","NBC News NOW","US"
"nbclx_us","NBCLX","US"
"cbs_news_24_7_us","CBS News 24/7","US"
"livenow_from_fox_us","LiveNOW from FOX","US"
"dateline_24_7_us","Dateline 24/7","US"
"nbc_news_now_us_2","NBC News NOW","US"
"newsmax2_us_2","Newsmax2","US"
"bbc_news_us","BBC News","US"
"abc_news_live_us","ABC News Live","US"
"local_now_us","Local Now","US"
"today_all_day_us","TODAY All Day","US"
"reuters_60_us","Reuters 60","US"
"sky_news_us","Sky News","US"
"cbc_news_us","CBC News","US"
"tyt_us","TYT","US"
"salem_news_channel_us","Salem News Channel","US"
"spectrum_news_us","Spectrum News+","US"
"fox_weather_us","Fox Weather","US"
"accuweather_now_us","AccuWeather NOW","US"
"oan_plus_us","OAN Plus","US"
"cnn_headlines_us","CNN Headlines","US"
"xumo_free_crime_tv_us","Xumo Free Crime TV","US"
"unsolved_mysteries_us","Unsolved Mysteries","US"
"universal_crime_us","Universal Crime","US"
"law_order_us","Law & Order","US"
"forensic_files_us","Forensic Files","US"
"reelz_famous_infamous_us","REELZ Famous & Infamous","US"
"midsomer_murders_us","Midsomer Murders","US"
"court_tv_legendary_trials_us","Court TV Legendary Trials","US"
"britbox_mysteries_us","BritBox Mysteries","US"
"tv_one_crime_justice_fast_channel_us","TV One CRIME & JUSTICE FAST CHANNEL","US"
"world_s_wildest_police_videos_us","World's Wildest Police Videos","US"
"lawless_by_lionsgate_us","Lawless by Lionsgate","US"
"the_f_b_i_us","The F.B.I.","US"
"a_e_crime_360_us","A&E Crime 360","US"
"live_pd_presents_us","Live PD Presents","US"
"the_first_48_by_a_e_us","The First 48 by A&E","US"
"20_20_us","20/20","US"
"bbc_drama_us","BBC Drama","US"
"bbc_earth_us","BBC Earth","US"
